Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 3,-0.04843214,0.02282211,-0.38441946,0.1796197,0.0107429,0.00270472,-0.003887106,0.002752024
Female,-0.04519305,0.02497451,-0.3156002,0.1952627,0.010152987,0.002939837,-0.005122278,0.003005787
Male,-0.05212369,0.02608191,-0.46293876,0.20676292,0.011433623,0.003122189,-0.002519254,0.003150066
Warm All,-0.02305913,0.02130919,0.4056375,0.24140665,-0.003648195,0.002296868,-0.004306725,0.00322315
Warm Female,-0.01453954,0.02691688,0.384716,0.304628,-0.00080125,0.002886515,-0.00508598,0.004077562
Warm Male,-0.03209844,0.02733141,0.4363359,0.3096654,-0.006790057,0.002965432,-0.003485193,0.004127375
Cold All,-0.05507736,0.02350093,-0.48621458,0.17129911,0.0165505,0.002850046,-0.004193666,0.002680624
Cold Female,-0.04970806,0.02466493,-0.39716714,0.17906977,0.0145935,0.002976546,-0.005361595,0.002812318
Cold Male,-0.06180499,0.02609664,-0.591522388,0.191100352,0.01888036,0.003194598,-0.002925904,0.0029769
Age 0-10 All,-0.03398164,0.03484813,-0.68073332,0.27639505,0.010381931,0.004421867,0.000579562,0.004345367
Age 0-10 Female,-0.03818367,0.03974006,-0.831360164,0.312934518,0.0147807,0.004987798,-0.000966591,0.004904822
Age 0-10 Male,-0.03077642,0.03776004,-0.55965008,0.3014434,0.006880252,0.004843171,0.001811801,0.004745984
Age 11-60 All,-0.04040244,0.02331276,-0.2578143,0.1839102,0.010075607,0.002743665,-0.003273494,0.002809777
Age 11-60 Female,-0.03179821,0.02628724,-0.1698399,0.2058096,0.00847103,0.00308556,-0.004328086,0.003169338
Age 11-60 Male,-0.05092859,0.02742749,-0.36841474,0.21833398,0.012026449,0.00324588,-0.002097805,0.003302501
Age 60+All,-0.119633932,0.034727093,-0.62999319,0.26436983,0.015891491,0.003923521,-0.013160597,0.003981945
Age 60+ Female,-0.123643094,0.038723646,-0.50959151,0.29675905,0.015324674,0.004354562,-0.013145214,0.004487032
Age 60+ Male,-0.113374424,0.043054621,-0.82557816,0.3236786,0.017178963,0.004896354,-0.013016008,0.004848713
All: LAG 4,-0.060480294,0.023147099,-0.4179163,0.1802622,0.01060298,0.002710479,-0.000922911,0.002768642
Female,-0.03788457,0.02523346,-0.3160107,0.1953809,0.00930441,0.002940163,0.001104713,0.003008523
Male,-0.08605261,0.02662716,-0.53458291,0.20853711,0.012134259,0.003140744,-0.003259358,0.003195312
Warm All,-0.007766225,0.021590283,0.53468155,0.24549091,-0.00067848,0.002384343,-0.003432419,0.003234074
Warm Female,0.02836819,0.02732813,0.65916992,0.31397412,0.001127905,0.002998147,-0.000778337,0.004135318
Warm Male,-0.04570329,0.0276024,0.4282747,0.3105406,-0.002701215,0.003070895,-0.006060985,0.004093054
Cold All,-0.07166708,0.023615985,-0.560001228,0.171150323,0.01560255,0.002806617,-0.000691971,0.002681014
Cold Female,-0.04906785,0.02475049,-0.43802685,0.17849897,0.01277523,0.002925182,0.001519069,0.002800713
Cold Male,-0.097374651,0.026378678,-0.70215819,0.192115135,0.01903192,0.003165443,-0.003248567,0.003005275
Age 0-10 All,-0.093661809,0.035811501,-0.908761289,0.283452562,0.007676888,0.004411721,0.002444848,0.004406524
Age 0-10 Female,-0.107315707,0.040924625,-0.919617069,0.322970066,0.007924912,0.004998768,0.002399366,0.005029831
Age 0-10 Male,-0.08435303,0.03879332,-0.893826787,0.307720534,0.007305917,0.004812288,0.002302247,0.004778706
Age 11-60 All,-0.0389686,0.02364165,-0.2315295,0.1836734,0.009896371,0.002763782,0.001349831,0.002826059
Age 11-60 Female,-0.00570288,0.02644144,-0.09681524,0.20429668,0.008181531,0.003090534,0.004124478,0.003154731
Age 11-60 Male,-0.079505658,0.028138062,-0.39739007,0.21995444,0.011975352,0.003296172,-0.002088047,0.003371503
Age 60+All,-0.136041344,0.034927488,-0.737502677,0.266750982,0.01860836,0.003868869,-0.01764003,0.004023902
Age 60+ Female,-0.132343435,0.039351282,-0.828180088,0.300017506,0.017089641,0.004309863,-0.014651314,0.004520317
Age 60+ Male,-0.1395888,0.04243022,-0.59326251,0.32506878,0.02156864,0.00479759,-0.02180336,0.004920979
All: LAG 5,-0.08235469,0.023070827,-0.655200874,0.18149576,0.01190436,0.002700046,-0.001569723,0.002745747
Female,-0.05521607,0.02529033,-0.48438817,0.19619747,0.009604485,0.002945557,0.000836008,0.002987543
Male,-0.1121551,0.02642008,-0.8535488,0.2109284,0.01454679,0.003113571,-0.004269727,0.003167054
Warm All,0.02817869,0.02146834,0.9894361,0.2409094,-0.00144135,0.002386872,0.004422526,0.003170299
Warm Female,0.04744648,0.02718793,0.92775528,0.306219943,1.04242E-05,0.00299651,0.007591595,0.004025411
Warm Male,0.009908258,0.027447387,1.061327596,0.307335827,-0.002772718,0.003078151,0.001366365,0.004044163
Cold All,-0.113845,0.02358417,-0.8955215,0.1734881,0.0176469,0.002797681,-0.003104607,0.002671345
Cold Female,-0.082991553,0.024877562,-0.671498663,0.180338441,0.01363293,0.002938549,-0.000669771,0.002795791
Cold Male,-0.149332,0.02618919,-1.166145,0.1957671,0.02236241,0.003130136,-0.005966918,0.002990539
Age 0-10 All,-0.1816417,0.03624889,-1.572913,0.2916532,0.009278159,0.004456409,-0.003082339,0.004422473
Age 0-10 Female,-0.1619647,0.04138697,-1.48536,0.3286732,0.001990332,0.005071678,0.003168061,0.004968323
Age 0-10 Male,-0.1965283,0.03940146,-1.635976,0.3198776,0.014504856,0.004851825,-0.007757647,0.004852823
Age 11-60 All,-0.04353122,0.02351557,-0.36347547,0.18390848,0.01060974,0.002749376,0.00204501,0.0027912
Age 11-60 Female,-0.01780102,0.0264852,-0.203234,0.2039707,0.00871867,0.003096504,0.003774707,0.003126892
Age 11-60 Male,-0.073713059,0.027776965,-0.5633526,0.2211186,0.01287167,0.00325507,9.27133E-06,0.003317031
Age 60+All,-0.1570483,0.03483878,-0.974191484,0.272091433,0.02194086,0.003856738,-0.01948577,0.004043335
Age 60+ Female,-0.137113812,0.039272421,-0.927764085,0.307424566,0.0213087,0.004298234,-0.016538406,0.004567862
Age 60+ Male,-0.1852653,0.04244758,-1.028038264,0.330033302,0.02323155,0.004804312,-0.02369925,0.004916425
All: LAG 6,-0.073504942,0.022883279,-0.627988806,0.180824033,0.01111194,0.00269929,-0.001514149,0.002703546
Female,-0.06205664,0.02503499,-0.607589681,0.197367591,0.00902505,0.002943294,-0.000922446,0.00294402
Male,-0.086339369,0.026228022,-0.653921858,0.207679912,0.0135608,0.003110836,-0.002220155,0.003112951
Warm All,0.074526913,0.021100125,0.904486871,0.239578206,-4.58468E-05,0.002372593,0.00839856,0.003049366
Warm Female,0.083284332,0.026577953,0.61573934,0.30453969,0.00302601,0.002964022,0.010814636,0.003833764
Warm Male,0.06550119,0.02722537,1.212664,0.3063205,-0.003379247,0.00308024,0.005739337,0.003942073
Cold All,-0.1127617,0.02344977,-0.8335969,0.1729981,0.01593716,0.002807155,-0.003593048,0.00263801
Cold Female,-0.09864398,0.02468054,-0.7575735,0.1816425,0.01184667,0.002953643,-0.003157006,0.002764757
Cold Male,-0.1290751,0.02605561,-0.9244271,0.1925774,0.02075717,0.003126531,-0.004135725,0.002944054
