Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Cold All,-0.0380439,0.02335857,0.962670679,0.91959061,1.007769,-0.489338795,0.171935116,0.95224409,0.920688829,0.984881,0.0207759,0.002867408,1.304645713,1.214088984,1.401957,-0.002724184,0.002677908,0.982448655,0.949496207,1.016545
Cold Female,-0.04532167,0.02459648,0.955690016,0.910709994,1.002892,-0.485260704,0.180245546,0.952632503,0.919565321,0.986889,0.02112063,0.003007081,1.31041524,1.215192397,1.413100,-0.005410924,0.002820325,0.965440306,0.931366938,1.000760
Cold Male,-0.03029422,0.02591295,0.970160051,0.922116597,1.020707,-0.498884565,0.191648375,0.951335534,0.916263275,0.987750,0.02039665,0.00320672,1.298327789,1.197968168,1.407095,0.000295451,0.002970798,1.001922277,0.964710199,1.040570
Age 0-10 All,0.002041992,0.034854431,1.002044078,0.935875623,1.072891,-0.739923281,0.283370889,0.928678819,0.878505578,0.981718,0.016441336,0.004476124,1.23423223,1.103130561,1.380915,0.004900062,0.004287602,1.032363055,0.977483716,1.090324
Age 0-10 Female,-0.01410187,0.03944964,0.985997096,0.912631436,1.065261,-0.993213531,0.320104402,0.905451692,0.850388635,0.964080,0.01567954,0.00508245,1.222255732,1.075934522,1.388476,0.001870197,0.004863101,1.012230468,0.951420045,1.076928
Age 0-10 Male,0.01331975,0.03801877,1.013408853,0.940637879,1.091810,-0.54238773,0.30951617,0.947205912,0.891451771,1.006447,0.017054584,0.004869448,1.243958552,1.100906536,1.405599,0.007136086,0.004672632,1.04747715,0.986941243,1.111726
Age 11-60 All,-0.02035677,0.0230514,0.97984903,0.936563912,1.025135,-0.1624374,0.1828396,0.983887478,0.949252637,1.019786,0.01176513,0.002747827,1.162524187,1.085082673,1.245493,-0.001297981,0.002787162,0.991598614,0.957006285,1.027441
Age 11-60 Female,-0.0323626,0.02610776,0.968155465,0.919859986,1.018987,-0.2005011,0.2064614,0.980149557,0.941278196,1.020626,0.01212239,0.003105446,1.1678525,1.080319859,1.262477,-0.002838895,0.003157799,0.981716393,0.943005488,1.022016
Age 11-60 Male,-0.006618488,0.02703313,0.993403366,0.94213809,1.047458,-0.1198123,0.215149,0.988090259,0.947289591,1.030648,0.011307511,0.003240271,1.155734579,1.065500053,1.253611,0.000476983,0.00326722,1.003105201,0.962208618,1.045740
Age 60+All,-0.06581823,0.03392638,0.93630104,0.876065924,1.000678,-0.3951786,0.2582891,0.961252786,0.913800938,1.011169,0.02374515,0.003894877,1.355184924,1.229027549,1.494292,-0.009014693,0.003934629,0.943088167,0.896979135,0.991567
Age 60+ Female,-0.03146357,0.03752808,0.969026257,0.900307771,1.042990,-0.04756816,0.28001257,0.99525448,0.942104308,1.051403,0.02562358,0.004334652,1.388163741,1.245122694,1.547637,-0.010013466,0.004398154,0.936985446,0.885927632,0.990986
Age 60+ Male,-0.120267798,0.042199367,0.886682953,0.816295745,0.963139,-0.97660137,0.332322239,0.906957093,0.849765121,0.967998,0.02107266,0.004823248,1.309610871,1.160353154,1.478068,-0.007769939,0.004817827,0.950749552,0.894148223,1.010934
All: LAG2,-0.009244911,0.022607068,0.990797692,0.947854031,1.035687,-0.237074,0.1799373,0.976571413,0.942730233,1.011627,0.01288608,0.002719689,1.179324508,1.101541174,1.262600,-0.000672305,0.002749767,0.995639552,0.96136415,1.031137
Female,-0.02147413,0.02481987,0.978754798,0.932280937,1.027545,-0.2218664,0.1956754,0.978057673,0.941257042,1.016297,0.01219914,0.002964654,1.169000362,1.085208085,1.259262,-0.00217752,0.003007379,0.985945815,0.948884791,1.024454
Male,0.004429667,0.02572818,1.004439492,0.955044287,1.056389,-0.2522145,0.206924,0.975093954,0.93633819,1.015454,0.01363755,0.003130064,1.190722946,1.100796044,1.287996,0.001050418,0.003142453,1.006851079,0.96733817,1.047978
Warm All,0.05189343,0.02096871,1.05326349,1.010853232,1.097453,1.457432,0.2373896,1.156899058,1.104303521,1.212000,-0.009433727,0.002299759,0.886253984,0.836567508,0.938892,0.006716768,0.003195293,1.044626068,1.002955318,1.088028
Warm Female,0.06035894,0.02659765,1.062217751,1.008261485,1.119061,1.670852,0.3033578,1.181854955,1.113632362,1.254257,-0.009369068,0.002898471,0.886987783,0.82477809,0.953890,0.010706553,0.004028525,1.072071325,1.018437089,1.128530
Warm Male,0.04263269,0.02669892,1.043554516,0.990349673,1.099618,1.244069,0.3010284,1.132476582,1.067591667,1.201305,-0.009401474,0.002953767,0.886619939,0.823293126,0.954818,0.002588897,0.004097974,1.016970216,0.96523821,1.071475
Cold All,-0.02466226,0.0233686,0.975639369,0.931960622,1.021365,-0.4430194,0.17310814,0.956665058,0.924750659,0.989681,0.02140963,0.00287154,1.315271705,1.22385054,1.413522,-0.00213922,0.002697098,0.986191297,0.952880327,1.020667
Cold Female,-0.03962296,0.02462907,0.961151764,0.915856178,1.008688,-0.43371935,0.18121329,0.957555176,0.924141815,0.992177,0.02022458,0.003005101,1.295471374,1.201394121,1.396916,-0.004300308,0.002835558,0.972435041,0.937932766,1.008206
Cold Male,-0.007530425,0.025818143,0.992497858,0.943523521,1.044014,-0.45166149,0.19261852,0.955838657,0.92042535,0.992614,0.02273025,0.003214349,1.337693952,1.234055145,1.450037,0.000350706,0.002988541,1.002282189,0.964838621,1.041179
Age 0-10 All,0.01620122,0.03446907,1.016333171,0.949938382,1.087369,-0.61483129,0.281213,0.940368811,0.889940318,0.993655,0.014372434,0.004456547,1.201976344,1.074828704,1.344165,0.002027334,0.004323648,1.013264879,0.958960298,1.070645
Age 0-10 Female,-0.03992021,0.03954042,0.960866104,0.88921215,1.038294,-1.021573867,0.318932643,0.902887438,0.848175095,0.961129,0.010130303,0.005013935,1.138450217,1.003885807,1.291052,-0.003228345,0.004921455,0.979234395,0.919722229,1.042597
Age 0-10 Male,0.05801401,0.0372266,1.059729842,0.985161072,1.139943,-0.2953907,0.306732,0.970892944,0.914243308,1.031053,0.017658366,0.004892033,1.253609619,1.108819306,1.417307,0.006048172,0.004698321,1.040096105,0.979666088,1.104254
Age 11-60 All,-0.00273692,0.02308351,0.997266822,0.953152278,1.043423,-0.06767791,0.1836628,0.993255059,0.958135855,1.029662,0.01165181,0.002767219,1.160839172,1.082982899,1.244293,3.00E-05,0.00281039,1.000194793,0.965016968,1.036655
Age 11-60 Female,-0.003893902,0.026116247,0.996113669,0.94640778,1.048430,0.004741776,0.205939539,1.00047429,0.960895159,1.041684,0.011676552,0.003126436,1.161206866,1.07360682,1.255955,-0.000547628,0.003172877,0.996446746,0.956971149,1.037551
Age 11-60 Male,-0.001171417,0.027054561,0.998829269,0.947244196,1.053224,-0.1517716,0.2175209,0.984937433,0.943828072,1.027837,0.011572716,0.003258058,1.15966453,1.068646191,1.258435,0.000733132,0.003301493,1.00477673,0.963391254,1.047940
